Costid;Load (kW);DateTime;DateTime.1;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
3;27.37;2024-06-01 00:00:00;2024-06-01 00:00:00;Saturday;6;2024;00:00:00;2024-06-01
3;22.32;2024-06-01 01:00:00;2024-06-01 01:00:00;Saturday;6;2024;01:00:00;2024-06-01
3;21.42;2024-06-01 02:00:00;2024-06-01 02:00:00;Saturday;6;2024;02:00:00;2024-06-01
3;19.99;2024-06-01 03:00:00;2024-06-01 03:00:00;Saturday;6;2024;03:00:00;2024-06-01
3;19.49;2024-06-01 04:00:00;2024-06-01 04:00:00;Saturday;6;2024;04:00:00;2024-06-01
3;19.52;2024-06-01 05:00:00;2024-06-01 05:00:00;Saturday;6;2024;05:00:00;2024-06-01
3;26.699999999999996;2024-06-01 06:00:00;2024-06-01 06:00:00;Saturday;6;2024;06:00:00;2024-06-01
3;47.870000000000005;2024-06-01 07:00:00;2024-06-01 07:00:00;Saturday;6;2024;07:00:00;2024-06-01
3;65.49000000000001;2024-06-01 08:00:00;2024-06-01 08:00:00;Saturday;6;2024;08:00:00;2024-06-01
3;55.84;2024-06-01 09:00:00;2024-06-01 09:00:00;Saturday;6;2024;09:00:00;2024-06-01
3;56.28;2024-06-01 10:00:00;2024-06-01 10:00:00;Saturday;6;2024;10:00:00;2024-06-01
3;63.67999999999999;2024-06-01 11:00:00;2024-06-01 11:00:00;Saturday;6;2024;11:00:00;2024-06-01
3;52.78;2024-06-01 12:00:00;2024-06-01 12:00:00;Saturday;6;2024;12:00:00;2024-06-01
3;55.339999999999996;2024-06-01 13:00:00;2024-06-01 13:00:00;Saturday;6;2024;13:00:00;2024-06-01
3;50.39999999999999;2024-06-01 14:00:00;2024-06-01 14:00:00;Saturday;6;2024;14:00:00;2024-06-01
3;59.19000000000001;2024-06-01 15:00:00;2024-06-01 15:00:00;Saturday;6;2024;15:00:00;2024-06-01
3;65.63;2024-06-01 16:00:00;2024-06-01 16:00:00;Saturday;6;2024;16:00:00;2024-06-01
3;62.86;2024-06-01 17:00:00;2024-06-01 17:00:00;Saturday;6;2024;17:00:00;2024-06-01
3;2.02;2024-06-01 18:00:00;2024-06-01 18:00:00;Saturday;6;2024;18:00:00;2024-06-01
3;0;2024-06-01 19:00:00;2024-06-01 19:00:00;Saturday;6;2024;19:00:00;2024-06-01
3;97.42;2024-06-01 20:00:00;2024-06-01 20:00:00;Saturday;6;2024;20:00:00;2024-06-01
3;78.83;2024-06-01 21:00:00;2024-06-01 21:00:00;Saturday;6;2024;21:00:00;2024-06-01
3;73.31;2024-06-01 22:00:00;2024-06-01 22:00:00;Saturday;6;2024;22:00:00;2024-06-01
3;54.32000000000001;2024-06-01 23:00:00;2024-06-01 23:00:00;Saturday;6;2024;23:00:00;2024-06-01
3;5.66;2024-06-02 00:00:00;2024-06-02 00:00:00;Sunday;6;2024;00:00:00;2024-06-02
3;0;2024-06-02 01:00:00;2024-06-02 01:00:00;Sunday;6;2024;01:00:00;2024-06-02
3;50.81;2024-06-02 02:00:00;2024-06-02 02:00:00;Sunday;6;2024;02:00:00;2024-06-02
3;34.550000000000004;2024-06-02 03:00:00;2024-06-02 03:00:00;Sunday;6;2024;03:00:00;2024-06-02
3;29.959999999999997;2024-06-02 04:00:00;2024-06-02 04:00:00;Sunday;6;2024;04:00:00;2024-06-02
3;31.73;2024-06-02 05:00:00;2024-06-02 05:00:00;Sunday;6;2024;05:00:00;2024-06-02
3;38.2;2024-06-02 06:00:00;2024-06-02 06:00:00;Sunday;6;2024;06:00:00;2024-06-02
3;63.28999999999999;2024-06-02 07:00:00;2024-06-02 07:00:00;Sunday;6;2024;07:00:00;2024-06-02
3;74.61999999999999;2024-06-02 08:00:00;2024-06-02 08:00:00;Sunday;6;2024;08:00:00;2024-06-02
3;64.52;2024-06-02 09:00:00;2024-06-02 09:00:00;Sunday;6;2024;09:00:00;2024-06-02
3;62.269999999999996;2024-06-02 10:00:00;2024-06-02 10:00:00;Sunday;6;2024;10:00:00;2024-06-02
3;69.76;2024-06-02 11:00:00;2024-06-02 11:00:00;Sunday;6;2024;11:00:00;2024-06-02
3;61.379999999999995;2024-06-02 12:00:00;2024-06-02 12:00:00;Sunday;6;2024;12:00:00;2024-06-02
3;64.55;2024-06-02 13:00:00;2024-06-02 13:00:00;Sunday;6;2024;13:00:00;2024-06-02
3;53.97;2024-06-02 14:00:00;2024-06-02 14:00:00;Sunday;6;2024;14:00:00;2024-06-02
3;15.34;2024-06-02 15:00:00;2024-06-02 15:00:00;Sunday;6;2024;15:00:00;2024-06-02
3;14.870000000000001;2024-06-02 16:00:00;2024-06-02 16:00:00;Sunday;6;2024;16:00:00;2024-06-02
3;43.959999999999994;2024-06-02 17:00:00;2024-06-02 17:00:00;Sunday;6;2024;17:00:00;2024-06-02
3;70.61;2024-06-02 18:00:00;2024-06-02 18:00:00;Sunday;6;2024;18:00:00;2024-06-02
3;68.6;2024-06-02 19:00:00;2024-06-02 19:00:00;Sunday;6;2024;19:00:00;2024-06-02
3;69.75;2024-06-02 20:00:00;2024-06-02 20:00:00;Sunday;6;2024;20:00:00;2024-06-02
3;74.53;2024-06-02 21:00:00;2024-06-02 21:00:00;Sunday;6;2024;21:00:00;2024-06-02
3;63.08;2024-06-02 22:00:00;2024-06-02 22:00:00;Sunday;6;2024;22:00:00;2024-06-02
3;50.150000000000006;2024-06-02 23:00:00;2024-06-02 23:00:00;Sunday;6;2024;23:00:00;2024-06-02
3;35.8;2024-06-03 00:00:00;2024-06-03 00:00:00;Monday;6;2024;00:00:00;2024-06-03
3;28.080000000000002;2024-06-03 01:00:00;2024-06-03 01:00:00;Monday;6;2024;01:00:00;2024-06-03
3;2.05;2024-06-03 02:00:00;2024-06-03 02:00:00;Monday;6;2024;02:00:00;2024-06-03
3;0;2024-06-03 03:00:00;2024-06-03 03:00:00;Monday;6;2024;03:00:00;2024-06-03
3;41.17;2024-06-03 04:00:00;2024-06-03 04:00:00;Monday;6;2024;04:00:00;2024-06-03
3;35.26;2024-06-03 05:00:00;2024-06-03 05:00:00;Monday;6;2024;05:00:00;2024-06-03
3;44.800000000000004;2024-06-03 06:00:00;2024-06-03 06:00:00;Monday;6;2024;06:00:00;2024-06-03
3;65.67999999999999;2024-06-03 07:00:00;2024-06-03 07:00:00;Monday;6;2024;07:00:00;2024-06-03
3;74.13;2024-06-03 08:00:00;2024-06-03 08:00:00;Monday;6;2024;08:00:00;2024-06-03
3;73.56;2024-06-03 09:00:00;2024-06-03 09:00:00;Monday;6;2024;09:00:00;2024-06-03
3;10.59;2024-06-03 10:00:00;2024-06-03 10:00:00;Monday;6;2024;10:00:00;2024-06-03
3;75.88000000000001;2024-06-03 11:00:00;2024-06-03 11:00:00;Monday;6;2024;11:00:00;2024-06-03
3;77.19;2024-06-03 12:00:00;2024-06-03 12:00:00;Monday;6;2024;12:00:00;2024-06-03
3;75.43;2024-06-03 13:00:00;2024-06-03 13:00:00;Monday;6;2024;13:00:00;2024-06-03
3;70.46;2024-06-03 14:00:00;2024-06-03 14:00:00;Monday;6;2024;14:00:00;2024-06-03
3;65.86999999999999;2024-06-03 15:00:00;2024-06-03 15:00:00;Monday;6;2024;15:00:00;2024-06-03
3;65.75999999999999;2024-06-03 16:00:00;2024-06-03 16:00:00;Monday;6;2024;16:00:00;2024-06-03
3;64.03;2024-06-03 17:00:00;2024-06-03 17:00:00;Monday;6;2024;17:00:00;2024-06-03
3;7.1899999999999995;2024-06-03 18:00:00;2024-06-03 18:00:00;Monday;6;2024;18:00:00;2024-06-03
3;0;2024-06-03 19:00:00;2024-06-03 19:00:00;Monday;6;2024;19:00:00;2024-06-03
3;96.41999999999999;2024-06-03 20:00:00;2024-06-03 20:00:00;Monday;6;2024;20:00:00;2024-06-03
3;96.85;2024-06-03 21:00:00;2024-06-03 21:00:00;Monday;6;2024;21:00:00;2024-06-03
3;76.41000000000001;2024-06-03 22:00:00;2024-06-03 22:00:00;Monday;6;2024;22:00:00;2024-06-03
3;60.57;2024-06-03 23:00:00;2024-06-03 23:00:00;Monday;6;2024;23:00:00;2024-06-03
3;36.830000000000005;2024-06-04 00:00:00;2024-06-04 00:00:00;Tuesday;6;2024;00:00:00;2024-06-04
3;32.589999999999996;2024-06-04 01:00:00;2024-06-04 01:00:00;Tuesday;6;2024;01:00:00;2024-06-04
3;27.73;2024-06-04 02:00:00;2024-06-04 02:00:00;Tuesday;6;2024;02:00:00;2024-06-04
3;26.05;2024-06-04 03:00:00;2024-06-04 03:00:00;Tuesday;6;2024;03:00:00;2024-06-04
3;27.23;2024-06-04 04:00:00;2024-06-04 04:00:00;Tuesday;6;2024;04:00:00;2024-06-04
3;31.020000000000003;2024-06-04 05:00:00;2024-06-04 05:00:00;Tuesday;6;2024;05:00:00;2024-06-04
3;41.040000000000006;2024-06-04 06:00:00;2024-06-04 06:00:00;Tuesday;6;2024;06:00:00;2024-06-04
3;71.17;2024-06-04 07:00:00;2024-06-04 07:00:00;Tuesday;6;2024;07:00:00;2024-06-04
3;80.36;2024-06-04 08:00:00;2024-06-04 08:00:00;Tuesday;6;2024;08:00:00;2024-06-04
3;2.4299999999999997;2024-06-04 09:00:00;2024-06-04 09:00:00;Tuesday;6;2024;09:00:00;2024-06-04
3;0;2024-06-04 10:00:00;2024-06-04 10:00:00;Tuesday;6;2024;10:00:00;2024-06-04
3;95.68;2024-06-04 11:00:00;2024-06-04 11:00:00;Tuesday;6;2024;11:00:00;2024-06-04
3;92.71999999999998;2024-06-04 12:00:00;2024-06-04 12:00:00;Tuesday;6;2024;12:00:00;2024-06-04
3;75.81;2024-06-04 13:00:00;2024-06-04 13:00:00;Tuesday;6;2024;13:00:00;2024-06-04
3;1389.79;2024-06-04 14:00:00;2024-06-04 14:00:00;Tuesday;6;2024;14:00:00;2024-06-04
3;10.850000000000001;2024-06-04 15:00:00;2024-06-04 15:00:00;Tuesday;6;2024;15:00:00;2024-06-04
3;14.31;2024-06-04 16:00:00;2024-06-04 16:00:00;Tuesday;6;2024;16:00:00;2024-06-04
3;16.43;2024-06-04 17:00:00;2024-06-04 17:00:00;Tuesday;6;2024;17:00:00;2024-06-04
3;16.990000000000002;2024-06-04 18:00:00;2024-06-04 18:00:00;Tuesday;6;2024;18:00:00;2024-06-04
3;32.33;2024-06-04 19:00:00;2024-06-04 19:00:00;Tuesday;6;2024;19:00:00;2024-06-04
3;76.9;2024-06-04 20:00:00;2024-06-04 20:00:00;Tuesday;6;2024;20:00:00;2024-06-04
3;51.58;2024-06-04 21:00:00;2024-06-04 21:00:00;Tuesday;6;2024;21:00:00;2024-06-04
3;61.150000000000006;2024-06-04 22:00:00;2024-06-04 22:00:00;Tuesday;6;2024;22:00:00;2024-06-04
3;50.94;2024-06-04 23:00:00;2024-06-04 23:00:00;Tuesday;6;2024;23:00:00;2024-06-04
3;34.16;2024-06-05 00:00:00;2024-06-05 00:00:00;Wednesday;6;2024;00:00:00;2024-06-05
3;24.330000000000002;2024-06-05 01:00:00;2024-06-05 01:00:00;Wednesday;6;2024;01:00:00;2024-06-05
3;21.619999999999997;2024-06-05 02:00:00;2024-06-05 02:00:00;Wednesday;6;2024;02:00:00;2024-06-05
