2018-07-01;06:30;103.28
2018-07-01;06:45;103.68
2018-07-01;07:00;104.08
2018-07-01;07:15;103.24
2018-07-01;07:30;102.4
2018-07-01;07:45;101.56
2018-07-01;08:00;100.72
2018-07-01;08:15;100.66
2018-07-01;08:30;100.6
2018-07-01;08:45;100.54
2018-07-01;09:00;100.48
2018-07-01;09:15;103.96
2018-07-01;09:30;107.44
2018-07-01;09:45;110.92
2018-07-01;10:00;114.4
2018-07-01;10:15;111.54
2018-07-01;10:30;108.68
2018-07-01;10:45;105.82
2018-07-01;11:00;102.96
2018-07-01;11:15;102.18
2018-07-01;11:30;101.4
2018-07-01;11:45;100.62
2018-07-01;12:00;99.84
2018-07-01;12:15;99.68
2018-07-01;12:30;99.52
2018-07-01;12:45;99.36
2018-07-01;13:00;99.2
2018-07-01;13:15;99.02
2018-07-01;13:30;98.84
2018-07-01;13:45;98.66
2018-07-01;14:00;98.48
2018-07-01;14:15;96.68
2018-07-01;14:30;94.88
2018-07-01;14:45;93.08
2018-07-01;15:00;91.28
2018-07-01;15:15;93.48
2018-07-01;15:30;95.68
2018-07-01;15:45;97.88
2018-07-01;16:00;100.08
2018-07-01;16:15;98.72
2018-07-01;16:30;97.36
2018-07-01;16:45;96.0
2018-07-01;17:00;94.64
2018-07-01;17:15;95.08
2018-07-01;17:30;95.52
2018-07-01;17:45;95.96
2018-07-01;18:00;96.4
2018-07-01;18:15;93.66
2018-07-01;18:30;90.92
2018-07-01;18:45;88.18
2018-07-01;19:00;85.44
2018-07-01;19:15;87.0
2018-07-01;19:30;88.56
2018-07-01;19:45;90.12
2018-07-01;20:00;91.68
2018-07-01;20:15;92.38
2018-07-01;20:30;93.08
2018-07-01;20:45;93.78
2018-07-01;21:00;94.48
2018-07-01;21:15;97.4
2018-07-01;21:30;100.32
2018-07-01;21:45;103.24
2018-07-01;22:00;106.16
2018-07-01;22:15;102.58
2018-07-01;22:30;99.0
2018-07-01;22:45;95.42
2018-07-01;23:00;91.84
2018-07-01;23:15;89.54
2018-07-01;23:30;87.24
2018-07-01;23:45;84.94
2018-07-02;00:00;82.64
2018-07-02;00:15;82.84
2018-07-02;00:30;83.04
2018-07-02;00:45;83.24
2018-07-02;01:00;83.44
2018-07-02;01:15;87.8
2018-07-02;01:30;92.16
2018-07-02;01:45;96.52
2018-07-02;02:00;100.88
2018-07-02;02:15;98.82
2018-07-02;02:30;96.76
2018-07-02;02:45;94.7
2018-07-02;03:00;92.64
2018-07-02;03:15;90.82
2018-07-02;03:30;89.0
2018-07-02;03:45;87.18
2018-07-02;04:00;85.36
